Category: All categories

Day,Finding Dory: (Worldwide)
2015-12-17,1
2015-12-18,1
2015-12-19,1
2015-12-20,1
2015-12-21,1
2015-12-22,1
2015-12-23,1
2015-12-24,2
2015-12-25,1
2015-12-26,1
2015-12-27,2
2015-12-28,1
2015-12-29,1
2015-12-30,2
2015-12-31,2
2016-01-01,2
2016-01-02,2
2016-01-03,2
2016-01-04,2
2016-01-05,2
2016-01-06,1
2016-01-07,1
2016-01-08,1
2016-01-09,2
2016-01-10,3
2016-01-11,2
2016-01-12,1
2016-01-13,1
2016-01-14,1
2016-01-15,1
2016-01-16,1
2016-01-17,2
2016-01-18,1
2016-01-19,1
2016-01-20,1
2016-01-21,1
2016-01-22,1
2016-01-23,1
2016-01-24,1
2016-01-25,1
2016-01-26,1
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-01-30,1
2016-01-31,2
2016-02-01,1
2016-02-02,1
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-06,2
2016-02-07,2
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,1
2016-02-12,1
2016-02-13,1
2016-02-14,2
2016-02-15,1
2016-02-16,1
2016-02-17,1
2016-02-18,1
2016-02-19,1
2016-02-20,1
2016-02-21,2
2016-02-22,1
2016-02-23,1
2016-02-24,1
2016-02-25,1
2016-02-26,2
2016-02-27,2
2016-02-28,3
2016-02-29,3
2016-03-01,3
2016-03-02,9
2016-03-03,9
2016-03-04,5
2016-03-05,5
2016-03-06,4
2016-03-07,2
2016-03-08,2
2016-03-09,2
2016-03-10,2
2016-03-11,2
2016-03-12,3
2016-03-13,3
2016-03-14,2
2016-03-15,2
2016-03-16,2
2016-03-17,2
2016-03-18,2
2016-03-19,2
2016-03-20,2
2016-03-21,2
2016-03-22,2
2016-03-23,2
2016-03-24,2
2016-03-25,2
2016-03-26,3
2016-03-27,3
2016-03-28,2
2016-03-29,2
2016-03-30,2
2016-03-31,2
2016-04-01,3
2016-04-02,3
2016-04-03,3
2016-04-04,2
2016-04-05,2
2016-04-06,1
2016-04-07,2
2016-04-08,2
2016-04-09,2
2016-04-10,2
2016-04-11,2
2016-04-12,1
2016-04-13,1
2016-04-14,2
2016-04-15,2
2016-04-16,2
2016-04-17,2
2016-04-18,2
2016-04-19,2
2016-04-20,2
2016-04-21,2
2016-04-22,2
2016-04-23,2
2016-04-24,2
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,3
2016-04-30,3
2016-05-01,3
2016-05-02,3
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,3
2016-05-07,3
2016-05-08,4
2016-05-09,3
2016-05-10,3
2016-05-11,3
2016-05-12,3
2016-05-13,3
2016-05-14,3
2016-05-15,4
2016-05-16,3
2016-05-17,3
2016-05-18,4
2016-05-19,4
2016-05-20,4
2016-05-21,6
2016-05-22,6
2016-05-23,5
2016-05-24,7
2016-05-25,8
2016-05-26,8
2016-05-27,7
2016-05-28,8
2016-05-29,9
2016-05-30,9
2016-05-31,11
2016-06-01,10
2016-06-02,10
2016-06-03,10
2016-06-04,11
2016-06-05,12
2016-06-06,11
2016-06-07,11
2016-06-08,14
2016-06-09,18
2016-06-10,20
2016-06-11,22
2016-06-12,23
2016-06-13,23
2016-06-14,28
2016-06-15,30
2016-06-16,50
2016-06-17,100
